"Laufende
Nummer";Hierachie;A;B;HMG000_A;HMG000_B;Label A;Label B;Syntax bei DummyCoding;
117;4;21;23;HMG021;HMG023;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;"IF HMG021=1 THEN HMG023=0;";
118;4;21;24;HMG021;HMG024;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG021=1 THEN HMG024=0;";
119;4;21;251;HMG021;HMG251;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG021=1 THEN HMG251=0;";
120;4;21;283;HMG021;HMG283;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;Angeborene metabolische Störungen, Porphyrie;"IF HMG021=1 THEN HMG283=0;";
121;4;22;23;HMG022;HMG023;Cushing Syndrom, Amyloidose;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;"IF HMG022=1 THEN HMG023=0;";
122;4;22;24;HMG022;HMG024;Cushing Syndrom, Amyloidose;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG022=1 THEN HMG024=0;";
123;4;22;251;HMG022;HMG251;Cushing Syndrom, Amyloidose;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG022=1 THEN HMG251=0;";
124;4;22;283;HMG022;HMG283;Cushing Syndrom, Amyloidose;Angeborene metabolische Störungen, Porphyrie;"IF HMG022=1 THEN HMG283=0;";
125;4;23;24;HMG023;HMG024;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG023=1 THEN HMG024=0;";
126;4;23;251;HMG023;HMG251;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG023=1 THEN HMG251=0;";
127;4;23;283;HMG023;HMG283;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;Angeborene metabolische Störungen, Porphyrie;"IF HMG023=1 THEN HMG283=0;";
128;4;202;21;HMG202;HMG021;Lysosomale Speicherkrankheiten mit ERT/SRT;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;"IF HMG202=1 THEN HMG021=0;";
129;4;202;22;HMG202;HMG022;Lysosomale Speicherkrankheiten mit ERT/SRT;Cushing Syndrom, Amyloidose;"IF HMG202=1 THEN HMG022=0;";
130;4;202;23;HMG202;HMG023;Lysosomale Speicherkrankheiten mit ERT/SRT;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;"IF HMG202=1 THEN HMG023=0;";
131;4;202;24;HMG202;HMG024;Lysosomale Speicherkrankheiten mit ERT/SRT;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG202=1 THEN HMG024=0;";
132;4;202;225;HMG202;HMG225;Lysosomale Speicherkrankheiten mit ERT/SRT;Hypopituitarismus mit Somatropingabe;"IF HMG202=1 THEN HMG225=0;";
133;4;202;251;HMG202;HMG251;Lysosomale Speicherkrankheiten mit ERT/SRT;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG202=1 THEN HMG251=0;";
134;4;202;283;HMG202;HMG283;Lysosomale Speicherkrankheiten mit ERT/SRT;Angeborene metabolische Störungen, Porphyrie;"IF HMG202=1 THEN HMG283=0;";
135;4;202;286;HMG202;HMG286;Lysosomale Speicherkrankheiten mit ERT/SRT;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;"IF HMG202=1 THEN HMG286=0;";
136;4;225;21;HMG225;HMG021;Hypopituitarismus mit Somatropingabe;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;"IF HMG225=1 THEN HMG021=0;";
137;4;225;22;HMG225;HMG022;Hypopituitarismus mit Somatropingabe;Cushing Syndrom, Amyloidose;"IF HMG225=1 THEN HMG022=0;";
138;4;225;23;HMG225;HMG023;Hypopituitarismus mit Somatropingabe;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;"IF HMG225=1 THEN HMG023=0;";
139;4;225;24;HMG225;HMG024;Hypopituitarismus mit Somatropingabe;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG225=1 THEN HMG024=0;";
140;4;225;251;HMG225;HMG251;Hypopituitarismus mit Somatropingabe;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG225=1 THEN HMG251=0;";
141;4;225;283;HMG225;HMG283;Hypopituitarismus mit Somatropingabe;Angeborene metabolische Störungen, Porphyrie;"IF HMG225=1 THEN HMG283=0;";
142;4;225;286;HMG225;HMG286;Hypopituitarismus mit Somatropingabe;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;"IF HMG225=1 THEN HMG286=0;";
143;4;251;24;HMG251;HMG024;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG251=1 THEN HMG024=0;";
144;4;251;283;HMG251;HMG283;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;Angeborene metabolische Störungen, Porphyrie;"IF HMG251=1 THEN HMG283=0;";
145;4;283;24;HMG283;HMG024;Angeborene metabolische Störungen, Porphyrie;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG283=1 THEN HMG024=0;";
146;4;286;21;HMG286;HMG021;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;"IF HMG286=1 THEN HMG021=0;";
147;4;286;22;HMG286;HMG022;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Cushing Syndrom, Amyloidose;"IF HMG286=1 THEN HMG022=0;";
148;4;286;23;HMG286;HMG023;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Lesch-Nyhan-Syndrom, Erkrankungen der Nebenschilddrüse, der Nebennieren, der Hypophyse und des Thymus, polyglanduläre Dysfunktion;"IF HMG286=1 THEN HMG023=0;";
149;4;286;24;HMG286;HMG024;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Metabolische Störungen nach medizinischen Maßnahmen, angeborene Anomalien endokriner Drüsen;"IF HMG286=1 THEN HMG024=0;";
150;4;286;251;HMG286;HMG251;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Adipositas, Hämochromatose, andere Störungen des Eisen-, Kupfer- und des Phosphatstoffwechsels;"IF HMG286=1 THEN HMG251=0;";
151;4;286;283;HMG286;HMG283;Sphingolipidosen, Glykogenspeicherkrankheit und Mukopolysaccharidose, Typ II;Angeborene metabolische Störungen, Porphyrie;"IF HMG286=1 THEN HMG283=0;";
152;5;25;26;HMG025;HMG026;Terminale Lebererkrankung;Leberzirrhose;"IF HMG025=1 THEN HMG026=0;";
153;5;25;27;HMG025;HMG027;Terminale Lebererkrankung;Chronische Virushepatitis ohne Dauermedikation;"IF HMG025=1 THEN HMG027=0;";
154;5;25;287;HMG025;HMG287;Terminale Lebererkrankung;Ösophagusvarizen;"IF HMG025=1 THEN HMG287=0;";
155;5;25;289;HMG025;HMG289;Terminale Lebererkrankung;Chronische Hepatitis (nicht durch Viren bedingt), sonstige sekundäre Lebererkrankung;"IF HMG025=1 THEN HMG289=0;";
156;5;26;289;HMG026;HMG289;Leberzirrhose;Chronische Hepatitis (nicht durch Viren bedingt), sonstige sekundäre Lebererkrankung;"IF HMG026=1 THEN HMG289=0;";
157;5;27;26;HMG027;HMG026;Chronische Virushepatitis ohne Dauermedikation;Leberzirrhose;"IF HMG027=1 THEN HMG026=0;";
158;5;27;289;HMG027;HMG289;Chronische Virushepatitis ohne Dauermedikation;Chronische Hepatitis (nicht durch Viren bedingt), sonstige sekundäre Lebererkrankung;"IF HMG027=1 THEN HMG289=0;";
159;5;287;26;HMG287;HMG026;Ösophagusvarizen;Leberzirrhose;"IF HMG287=1 THEN HMG026=0;";
160;5;287;27;HMG287;HMG027;Ösophagusvarizen;Chronische Virushepatitis ohne Dauermedikation;"IF HMG287=1 THEN HMG027=0;";
161;5;287;289;HMG287;HMG289;Ösophagusvarizen;Chronische Hepatitis (nicht durch Viren bedingt), sonstige sekundäre Lebererkrankung;"IF HMG287=1 THEN HMG289=0;";
162;5;288;26;HMG288;HMG026;Chronische Virushepatitis mit Dauermedikation;Leberzirrhose;"IF HMG288=1 THEN HMG026=0;";
163;5;288;27;HMG288;HMG027;Chronische Virushepatitis mit Dauermedikation;Chronische Virushepatitis ohne Dauermedikation;"IF HMG288=1 THEN HMG027=0;";
164;5;288;289;HMG288;HMG289;Chronische Virushepatitis mit Dauermedikation;Chronische Hepatitis (nicht durch Viren bedingt), sonstige sekundäre Lebererkrankung;"IF HMG288=1 THEN HMG289=0;";
165;6;31;32;HMG031;HMG032;Ileus;Postoperativer Darmverschluss;"IF HMG031=1 THEN HMG032=0;";
166;6;290;33;HMG290;HMG033;Chronisch entzündliche Darmerkrankungen mit Dauermedikation;Chronisch entzündliche Darmerkrankungen ohne Dauermedikation / Strahlenproktitis / Strahlenkolitis;"IF HMG290=1 THEN HMG033=0;";
167;7;40;42;HMG040;HMG042;Angeborene Hüftluxation / Osteoarthritis der Hüfte oder des Knies;Sonstige iatrogene Erkrankungen des Bewegungssystems;"IF HMG040=1 THEN HMG042=0;";
168;7;41;40;HMG041;HMG040;Mechanische Komplikationen durch orthopädische Implantate;Angeborene Hüftluxation / Osteoarthritis der Hüfte oder des Knies;"IF HMG041=1 THEN HMG040=0;";
169;7;41;42;HMG041;HMG042;Mechanische Komplikationen durch orthopädische Implantate;Sonstige iatrogene Erkrankungen des Bewegungssystems;"IF HMG041=1 THEN HMG042=0;";
170;7;198;199;HMG198;HMG199;Juvenile Arthritis mit Dauermedikation;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung mit Dauermedikation;"IF HMG198=1 THEN HMG199=0;";
171;7;198;200;HMG198;HMG200;Juvenile Arthritis mit Dauermedikation;Sonstige systemische rheumatoide Erkrankungen mit Dauermedikation;"IF HMG198=1 THEN HMG200=0;";
172;7;198;226;HMG198;HMG226;Juvenile Arthritis mit Dauermedikation;Juvenile Arthritis;"IF HMG198=1 THEN HMG226=0;";
173;7;198;227;HMG198;HMG227;Juvenile Arthritis mit Dauermedikation;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung;"IF HMG198=1 THEN HMG227=0;";
174;7;198;228;HMG198;HMG228;Juvenile Arthritis mit Dauermedikation;Sonstige systemische rheumatoide Erkrankungen;"IF HMG198=1 THEN HMG228=0;";
175;7;199;200;HMG199;HMG200;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung mit Dauermedikation;Sonstige systemische rheumatoide Erkrankungen mit Dauermedikation;"IF HMG199=1 THEN HMG200=0;";
176;7;199;226;HMG199;HMG226;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung mit Dauermedikation;Juvenile Arthritis;"IF HMG199=1 THEN HMG226=0;";
177;7;199;227;HMG199;HMG227;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung mit Dauermedikation;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung;"IF HMG199=1 THEN HMG227=0;";
178;7;199;228;HMG199;HMG228;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung mit Dauermedikation;Sonstige systemische rheumatoide Erkrankungen;"IF HMG199=1 THEN HMG228=0;";
179;7;200;226;HMG200;HMG226;Sonstige systemische rheumatoide Erkrankungen mit Dauermedikation;Juvenile Arthritis;"IF HMG200=1 THEN HMG226=0;";
180;7;200;227;HMG200;HMG227;Sonstige systemische rheumatoide Erkrankungen mit Dauermedikation;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung;"IF HMG200=1 THEN HMG227=0;";
181;7;200;228;HMG200;HMG228;Sonstige systemische rheumatoide Erkrankungen mit Dauermedikation;Sonstige systemische rheumatoide Erkrankungen;"IF HMG200=1 THEN HMG228=0;";
182;7;207;208;HMG207;HMG208;Infektionen und entzündliche Reaktionen durch orthopädische Implantate;Arzneimittelinduzierte Knochennekrose / infektiöse Knochen- und Gelenkerkrankungen;"IF HMG207=1 THEN HMG208=0;";
183;7;207;209;HMG207;HMG209;Infektionen und entzündliche Reaktionen durch orthopädische Implantate;Andere entzündliche und nekrotisierende Erkrankungen des Bewegungsapparates;"IF HMG207=1 THEN HMG209=0;";
184;7;208;209;HMG208;HMG209;Arzneimittelinduzierte Knochennekrose / infektiöse Knochen- und Gelenkerkrankungen;Andere entzündliche und nekrotisierende Erkrankungen des Bewegungsapparates;"IF HMG208=1 THEN HMG209=0;";
185;7;226;227;HMG226;HMG227;Juvenile Arthritis;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung;"IF HMG226=1 THEN HMG227=0;";
186;7;226;228;HMG226;HMG228;Juvenile Arthritis;Sonstige systemische rheumatoide Erkrankungen;"IF HMG226=1 THEN HMG228=0;";
187;7;227;228;HMG227;HMG228;Morbus Behcet, entzündliche Wirbelkörpererkrankungen, Arthritis psoriatica, chronische Polyarthritis mit Organbeteiligung;Sonstige systemische rheumatoide Erkrankungen;"IF HMG227=1 THEN HMG228=0;";
188;8;35;43;HMG035;HMG043;Hämophile und Willebrand-Jürgens-Syndrom mit Dauermedikation;Hämophilie ohne Dauermedikation (Männer);"IF HMG035=1 THEN HMG043=0;";
189;8;35;46;HMG035;HMG046;Hämophile und Willebrand-Jürgens-Syndrom mit Dauermedikation;Hämophilie ohne Dauermedikation (Frauen), Purpura und sonstige Gerinnungsstörungen;"IF HMG035=1 THEN HMG046=0;";
190;8;35;210;HMG035;HMG210;Hämophile und Willebrand-Jürgens-Syndrom mit Dauermedikation;Sekundäre Thrombozytopenien, erworbener Mangel an Gerinnungsfaktoren;"IF HMG035=1 THEN HMG210=0;";
191;8;43;46;HMG043;HMG046;Hämophilie ohne Dauermedikation (Männer);Hämophilie ohne Dauermedikation (Frauen), Purpura und sonstige Gerinnungsstörungen;"IF HMG043=1 THEN HMG046=0;";
192;8;43;210;HMG043;HMG210;Hämophilie ohne Dauermedikation (Männer);Sekundäre Thrombozytopenien, erworbener Mangel an Gerinnungsfaktoren;"IF HMG043=1 THEN HMG210=0;";
193;8;44;47;HMG044;HMG047;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;Anämien bei Neubildungen;"IF HMG044=1 THEN HMG047=0;";
194;8;44;49;HMG044;HMG049;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;Polycythaemia vera;"IF HMG044=1 THEN HMG049=0;";
195;8;44;211;HMG044;HMG211;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;Aplastische Anämie;"IF HMG044=1 THEN HMG211=0;";
196;8;44;212;HMG044;HMG212;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;Myelofibrose und sonstige myelodysplastischen Syndrome;"IF HMG044=1 THEN HMG212=0;";
197;8;44;214;HMG044;HMG214;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;Sonstige näher bezeichnete Anämien;"IF HMG044=1 THEN HMG214=0;";
198;8;47;49;HMG047;HMG049;Anämien bei Neubildungen;Polycythaemia vera;"IF HMG047=1 THEN HMG049=0;";
199;8;47;214;HMG047;HMG214;Anämien bei Neubildungen;Sonstige näher bezeichnete Anämien;"IF HMG047=1 THEN HMG214=0;";
200;8;210;46;HMG210;HMG046;Sekundäre Thrombozytopenien, erworbener Mangel an Gerinnungsfaktoren;Hämophilie ohne Dauermedikation (Frauen), Purpura und sonstige Gerinnungsstörungen;"IF HMG210=1 THEN HMG046=0;";
201;8;211;47;HMG211;HMG047;Aplastische Anämie;Anämien bei Neubildungen;"IF HMG211=1 THEN HMG047=0;";
202;8;211;49;HMG211;HMG049;Aplastische Anämie;Polycythaemia vera;"IF HMG211=1 THEN HMG049=0;";
203;8;211;214;HMG211;HMG214;Aplastische Anämie;Sonstige näher bezeichnete Anämien;"IF HMG211=1 THEN HMG214=0;";
204;8;212;47;HMG212;HMG047;Myelofibrose und sonstige myelodysplastischen Syndrome;Anämien bei Neubildungen;"IF HMG212=1 THEN HMG047=0;";
205;8;212;49;HMG212;HMG049;Myelofibrose und sonstige myelodysplastischen Syndrome;Polycythaemia vera;"IF HMG212=1 THEN HMG049=0;";
206;8;212;211;HMG212;HMG211;Myelofibrose und sonstige myelodysplastischen Syndrome;Aplastische Anämie;"IF HMG212=1 THEN HMG211=0;";
207;8;212;214;HMG212;HMG214;Myelofibrose und sonstige myelodysplastischen Syndrome;Sonstige näher bezeichnete Anämien;"IF HMG212=1 THEN HMG214=0;";
208;8;213;44;HMG213;HMG044;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Hämolytisch-urämisches Syndrom, erworbene hämolytische Anämien;"IF HMG213=1 THEN HMG044=0;";
209;8;213;47;HMG213;HMG047;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Anämien bei Neubildungen;"IF HMG213=1 THEN HMG047=0;";
210;8;213;49;HMG213;HMG049;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Polycythaemia vera;"IF HMG213=1 THEN HMG049=0;";
211;8;213;211;HMG213;HMG211;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Aplastische Anämie;"IF HMG213=1 THEN HMG211=0;";
212;8;213;212;HMG213;HMG212;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Myelofibrose und sonstige myelodysplastischen Syndrome;"IF HMG213=1 THEN HMG212=0;";
213;8;213;214;HMG213;HMG214;Refraktäre Anämien mit Blastenüberschuss, Mehrlinien-Dysplasien oder isolierter Chromosomenanomalie;Sonstige näher bezeichnete Anämien;"IF HMG213=1 THEN HMG214=0;";
214;8;214;49;HMG214;HMG049;Sonstige näher bezeichnete Anämien;Polycythaemia vera;"IF HMG214=1 THEN HMG049=0;";
215;10;51;52;HMG051;HMG052;Alkohol- oder drogeninduzierte Psychose;Alkohol- oder Drogenabhängigkeit;"IF HMG051=1 THEN HMG052=0;";
216;10;51;53;HMG051;HMG053;Alkohol- oder drogeninduzierte Psychose;Schädlicher Gebrauch von Alkohol / Drogen ohne Abhängigkeitssyndrom;"IF HMG051=1 THEN HMG053=0;";
217;10;52;53;HMG052;HMG053;Alkohol- oder Drogenabhängigkeit;Schädlicher Gebrauch von Alkohol / Drogen ohne Abhängigkeitssyndrom;"IF HMG052=1 THEN HMG053=0;";
218;11;54;55;HMG054;HMG055;Schizophrenie;Näher bezeichnete bipolare affektive Störungen;"IF HMG054=1 THEN HMG055=0;";
219;11;54;56;HMG054;HMG056;Schizophrenie;Psychosen, Wahn;"IF HMG054=1 THEN HMG056=0;";
220;11;54;57;HMG054;HMG057;Schizophrenie;Angststörungen und unspezifische depressive Störungen;"IF HMG054=1 THEN HMG057=0;";
221;11;54;58;HMG054;HMG058;Schizophrenie;Depression, sonstige nicht näher bezeichnete manische und bipolare affektive Störungen;"IF HMG054=1 THEN HMG058=0;";
222;11;54;231;HMG054;HMG231;Schizophrenie;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG054=1 THEN HMG231=0;";
223;11;55;56;HMG055;HMG056;Näher bezeichnete bipolare affektive Störungen;Psychosen, Wahn;"IF HMG055=1 THEN HMG056=0;";
224;11;55;57;HMG055;HMG057;Näher bezeichnete bipolare affektive Störungen;Angststörungen und unspezifische depressive Störungen;"IF HMG055=1 THEN HMG057=0;";
225;11;55;58;HMG055;HMG058;Näher bezeichnete bipolare affektive Störungen;Depression, sonstige nicht näher bezeichnete manische und bipolare affektive Störungen;"IF HMG055=1 THEN HMG058=0;";
226;11;55;231;HMG055;HMG231;Näher bezeichnete bipolare affektive Störungen;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG055=1 THEN HMG231=0;";
227;11;56;57;HMG056;HMG057;Psychosen, Wahn;Angststörungen und unspezifische depressive Störungen;"IF HMG056=1 THEN HMG057=0;";
228;11;56;231;HMG056;HMG231;Psychosen, Wahn;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG056=1 THEN HMG231=0;";
229;11;58;57;HMG058;HMG057;Depression, sonstige nicht näher bezeichnete manische und bipolare affektive Störungen;Angststörungen und unspezifische depressive Störungen;"IF HMG058=1 THEN HMG057=0;";
230;11;58;231;HMG058;HMG231;Depression, sonstige nicht näher bezeichnete manische und bipolare affektive Störungen;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG058=1 THEN HMG231=0;";
231;11;60;57;HMG060;HMG057;Anorexia nervosa/Bulimie, Posttraumatische Belastungsstörung;Angststörungen und unspezifische depressive Störungen;"IF HMG060=1 THEN HMG057=0;";
232;11;60;230;HMG060;HMG230;Anorexia nervosa/Bulimie, Posttraumatische Belastungsstörung;Persönlichkeits- und Verhaltensstörungen, sonstige Essstörungen;"IF HMG060=1 THEN HMG230=0;";
233;11;60;231;HMG060;HMG231;Anorexia nervosa/Bulimie, Posttraumatische Belastungsstörung;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG060=1 THEN HMG231=0;";
234;11;230;57;HMG230;HMG057;Persönlichkeits- und Verhaltensstörungen, sonstige Essstörungen;Angststörungen und unspezifische depressive Störungen;"IF HMG230=1 THEN HMG057=0;";
235;11;230;231;HMG230;HMG231;Persönlichkeits- und Verhaltensstörungen, sonstige Essstörungen;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;"IF HMG230=1 THEN HMG231=0;";
236;11;231;57;HMG231;HMG057;Panikstörung, näher bezeichnete Phobien, sonstige anhaltende affektive Störungen;Angststörungen und unspezifische depressive Störungen;"IF HMG231=1 THEN HMG057=0;";
237;12;254;255;HMG254;HMG255;Tiefgreifende Entwicklungsstörungen;Aufmerksamkeits-Defizit-Syndrom;"IF HMG254=1 THEN HMG255=0;";
238;12;254;257;HMG254;HMG257;Tiefgreifende Entwicklungsstörungen;Tic- und andere Entwicklungsstörungen;"IF HMG254=1 THEN HMG257=0;";
239;12;254;291;HMG254;HMG291;Tiefgreifende Entwicklungsstörungen;Störungen des Sozialverhaltens und der Emotionen;"IF HMG254=1 THEN HMG291=0;";
240;12;255;257;HMG255;HMG257;Aufmerksamkeits-Defizit-Syndrom;Tic- und andere Entwicklungsstörungen;"IF HMG255=1 THEN HMG257=0;";
241;12;291;255;HMG291;HMG255;Störungen des Sozialverhaltens und der Emotionen;Aufmerksamkeits-Defizit-Syndrom;"IF HMG291=1 THEN HMG255=0;";
242;12;291;257;HMG291;HMG257;Störungen des Sozialverhaltens und der Emotionen;Tic- und andere Entwicklungsstörungen;"IF HMG291=1 THEN HMG257=0;";
243;13;292;39;HMG292;HMG039;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Spinalkanalstenose;"IF HMG292=1 THEN HMG039=0;";
244;13;292;100;HMG292;HMG100;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Hemiplegie / Hemiparese;"IF HMG292=1 THEN HMG100=0;";
245;13;292;101;HMG292;HMG101;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Diplegie der oberen Extremitäten, Monoplegie und andere Lähmungen;"IF HMG292=1 THEN HMG101=0;";
246;13;292;103;HMG292;HMG103;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Nicht näher spezifizierte Spätfolgen zerebrovaskulärer Erkrankungen;"IF HMG292=1 THEN HMG103=0;";
247;13;292;157;HMG292;HMG157;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Traumatische Wirbelkörperfrakturen / Schwerwiegende pathologische Frakturen;"IF HMG292=1 THEN HMG157=0;";
248;13;292;203;HMG292;HMG203;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Sonstige pathologische Frakturen;"IF HMG292=1 THEN HMG203=0;";
249;13;292;293;HMG292;HMG293;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Vollständige Quadriplegie / Folgen einer Rückenmarksverletzung / Motoneuronenerkrankungen;"IF HMG292=1 THEN HMG293=0;";
250;13;292;294;HMG292;HMG294;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Paraplegie / Inkomplette oder nicht näher bezeichnete Quadriplegie / sonstige Rückenmarksläsion;"IF HMG292=1 THEN HMG294=0;";
251;13;292;295;HMG292;HMG295;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Sub-]akute Myelitis / angeborene und kindliche Lähmungserscheinungen / postoperative Krankheiten des Nervensystems;"IF HMG292=1 THEN HMG295=0;";
252;13;292;296;HMG292;HMG296;Schwerwiegende zervikale oder thorakale Rückenmarksläsion / Locked-in-Syndrom;Sonstige Erkrankungen des Rückenmarks;"IF HMG292=1 THEN HMG296=0;";
253;13;293;39;HMG293;HMG039;Vollständige Quadriplegie / Folgen einer Rückenmarksverletzung / Motoneuronenerkrankungen;Spinalkanalstenose;"IF HMG293=1 THEN HMG039=0;";
254;13;293;100;HMG293;HMG100;Vollständige Quadriplegie / Folgen einer Rückenmarksverletzung / Motoneuronenerkrankungen;Hemiplegie / Hemiparese;"IF HMG293=1 THEN HMG100=0;";
